otu_id,lineage,CKG1,CKG2,CKG3,MPSG1,MPSG2,MPSG3
otu184,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._HGB5,2541,1308,2275,2854,4892,4113
otu185,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Unclassified;s__Muribaculaceae_bacterium_Isolate-043_(Harlan),849,4082,1701,4094,3532,5361
otu186,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified;s__Lachnospiraceae_bacterium,6044,4061,4518,2266,2358,1162
otu187,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella_tayi,6002,5882,4208,1530,1868,1321
otu188,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_sp._CAG:100,5950,2106,4540,2858,2754,1119
otu189,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella_massiliensis,5472,4529,5055,1513,2622,1204
otu190,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella_massiliensis,7212,3901,7720,425,1615,784
otu191,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp._CAG:510,4032,3434,3191,1376,5536,967
otu192,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__Flavonifractor_sp._An306,6068,5073,4430,1294,2023,1399
otu193,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis;g__Unclassified;s__Clostridiales_Family_XIII_bacterium,7482,949,1137,442,9406,249
otu194,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor_sp._An184,6217,4548,4553,1475,2359,1496
otu195,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__Flavonifractor_sp._An100,6371,4246,4685,1462,2172,1370
otu196,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella;s__Millionella_massiliensis,2056,533,1037,3281,4668,4079
otu197,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_symbiosum,5615,5390,4131,1541,1447,1813
otu198,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_sp._MIT_03-1616,5263,1882,10548,880,770,737
otu199,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Unclassified;s__Ruminococcaceae_bacterium_D16,5514,4603,3832,1481,2662,1617
otu200,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila_wadsworthia,5660,6027,4674,1778,1340,1027
otu202,k__Bacteria;p__Firmicutes;c__Clostridia;o__Candidatus_Comantemales;f__Candidatus_Comatemaea;g__Candidatus_Borkfalki;s__Candidatus_Borkfalki_ceftriaxensis,5055,1771,2540,1912,1418,5310
otu203,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes,6366,4461,4240,1221,1935,1149
otu204,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_sp._40_7,6819,2877,4317,1456,1840,2049
otu205,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena,4457,4835,4858,1034,1912,896
otu206,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma_sp._CAG:776,2171,2169,239,150,6861,446
